date,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
2020-02-08,14,0.0,0,0,,,,14,0,0,0,0,0
2020-02-10,2,0.0,14,0,,,0.0,16,0,14,0,0,0
2020-02-13,0,0.0,-13,0,,,0.0,16,0,1,0,0,0
2020-02-25,2,0.0,14,0,,,0.0,18,0,15,0,0,0
2020-02-26,8,0.0,0,0,,,0.0,26,0,15,0,0,0
2020-02-27,22,0.0,0,0,,,0.0,48,0,15,0,0,0
2020-02-28,14,0.0,0,0,,,0.0,62,0,15,0,0,0
2020-02-29,4,0.0,0,0,,,0.0,66,0,15,0,0,0
2020-03-01,63,0.0,0,0,,,0.0,129,0,15,0,0,0
2020-03-02,28,0.0,0,0,,,0.0,157,0,15,0,0,0
2020-03-03,39,0.0,0,0,0.0,,0.0,196,0,15,0,0,0
2020-03-04,148,0.0,0,0,0.0,,0.0,344,0,15,0,0,0
2020-03-05,221,0.0,0,0,0.0,,0.0,565,0,15,0,0,0
2020-03-06,74,0.0,0,0,0.0,,0.0,639,0,15,0,0,0
2020-03-07,156,0.0,0,0,0.0,,0.0,795,0,15,0,0,0
2020-03-08,107,0.0,0,0,0.0,,0.0,902,0,15,0,0,0
2020-03-09,237,0.0,0,2,0.0,,0.0,1139,0,15,2,0,0
2020-03-10,385,0.0,0,0,0.0,,0.0,1524,0,15,2,0,0
2020-03-11,522,0.0,0,1,0.0,,0.0,2046,0,15,3,0,0
2020-03-12,699,0.0,0,2,0.0,,0.0,2745,0,15,5,0,0
2020-03-13,930,0.0,31,2,0.0,,0.0,3675,0,46,7,0,0
2020-03-14,910,0.0,0,1,0.0,,0.0,4585,0,46,8,0,0
2020-03-15,1228,0.0,3,5,0.0,,0.0,5813,0,49,13,0,0
2020-03-16,417,0.0,9,1,0.0,,0.0,6230,0,58,14,0,0
2020-03-17,3027,0.0,77,10,0.0,,0.0,9257,0,135,24,0,0
2020-03-18,2716,0.0,0,4,0.0,,0.0,11973,0,135,28,0,0
2020-03-19,2006,0.0,0,14,0.0,,0.0,13979,0,135,42,0,0
2020-03-20,6120,0.0,67,26,0.0,,0.0,20099,0,202,68,0,0
2020-03-21,2265,0.0,37,16,0.0,,0.0,22364,0,239,84,0,0
2020-03-22,4817,0.0,27,10,0.0,,0.0,27181,0,266,94,0,0
2020-03-23,1875,0.0,156,29,0.0,,0.0,29056,0,422,123,0,0
