date,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
2020-02-08,8,0.0,0,0,,,,8,0,0,0,0,0
2020-02-12,1,0.0,0,0,,,0.0,9,0,0,0,0,0
2020-02-23,4,0.0,8,0,,,0.0,13,0,8,0,0,0
2020-02-27,3,0.0,0,0,,,0.0,16,0,8,0,0,0
2020-02-28,4,0.0,0,0,,,0.0,20,0,8,0,0,0
2020-02-29,3,0.0,0,0,,,0.0,23,0,8,0,0,0
2020-03-01,13,0.0,0,0,,,0.0,36,0,8,0,0,0
2020-03-02,4,0.0,0,0,,,0.0,40,0,8,0,0,0
2020-03-03,11,0.0,0,0,0.0,,0.0,51,0,8,0,0,0
2020-03-04,34,0.0,0,0,0.0,,0.0,85,0,8,0,0,0
2020-03-05,31,0.0,0,1,0.0,,0.0,116,0,8,1,0,0
2020-03-06,47,0.0,0,1,0.0,,0.0,163,0,8,2,0,0
2020-03-07,43,0.0,0,0,0.0,,0.0,206,0,8,2,0,0
2020-03-08,67,0.0,0,0,0.0,,0.0,273,0,8,2,0,0
2020-03-09,46,0.0,0,3,0.0,,0.0,319,0,8,5,0,0
2020-03-10,63,0.0,0,1,0.0,,0.0,382,0,8,6,0,0
2020-03-11,78,0.0,0,2,0.0,,0.0,460,0,8,8,0,0
2020-03-12,130,0.0,0,2,0.0,,0.0,590,0,8,10,0,0
2020-03-13,208,0.0,0,0,0.0,,0.0,798,0,8,10,0,0
2020-03-14,347,0.0,0,11,0.0,,0.0,1145,0,8,21,0,0
2020-03-15,227,0.0,0,14,0.0,,0.0,1372,0,8,35,0,0
2020-03-16,171,0.0,10,20,0.0,,0.0,1543,0,18,55,0,0
2020-03-17,407,0.0,0,16,0.0,,0.0,1950,0,18,71,0,0
2020-03-18,676,0.0,0,0,0.0,,0.0,2626,0,18,71,0,0
2020-03-19,643,0.0,0,73,0.0,,0.0,3269,0,18,144,0,0
2020-03-20,714,0.0,0,40,0.0,,0.0,3983,0,18,184,0,0
2020-03-21,1035,0.0,47,49,0.0,,0.0,5018,0,65,233,0,0
2020-03-22,665,0.0,0,48,0.0,,0.0,5683,0,65,281,0,0
2020-03-23,967,0.0,0,54,0.0,,0.0,6650,0,65,335,0,0
2020-03-24,1427,0.0,0,87,0.0,,0.0,8077,0,65,422,0,0
2020-03-25,1452,0.0,0,43,0.0,,0.0,9529,0,65,465,0,0
2020-03-26,2129,0.0,70,113,0.0,,0.0,11658,0,135,578,0,0
2020-03-27,2921,0.0,15,181,0.0,,0.0,14579,0,150,759,0,0
2020-03-28,2510,0.0,1,260,0.0,,0.0,17089,0,151,1019,0,0
2020-03-29,2433,0.0,0,209,0.0,,0.0,19522,0,151,1228,0,0
2020-03-30,2619,0.0,0,180,0.0,,0.0,22141,0,151,1408,0,0
