date,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
2020-02-08,11,0.0,0,0,,,,11,0,0,0,0,0
2020-02-15,1,0.0,11,1,,,0.0,12,0,11,1,0,0
2020-02-25,2,0.0,0,0,,,0.0,14,0,11,1,0,0
2020-02-26,4,0.0,0,1,,,0.0,18,0,11,2,0,0
2020-02-27,20,0.0,0,0,,,0.0,38,0,11,2,0,0
2020-02-28,19,0.0,0,0,,,0.0,57,0,11,2,0,0
2020-02-29,43,0.0,1,0,,,0.0,100,0,12,2,0,0
2020-03-01,30,0.0,0,0,,,0.0,130,0,12,2,0,0
2020-03-02,61,0.0,0,1,,,0.0,191,0,12,3,0,0
2020-03-03,21,0.0,0,1,0.0,,0.0,212,0,12,4,0,0
2020-03-04,73,0.0,0,0,0.0,,0.0,285,0,12,4,0,0
2020-03-05,138,0.0,0,3,0.0,,0.0,423,0,12,7,0,0
2020-03-06,190,0.0,0,2,0.0,,0.0,613,0,12,9,0,0
2020-03-07,336,0.0,0,7,0.0,,0.0,949,0,12,16,0,0
2020-03-08,177,0.0,0,0,0.0,,0.0,1126,0,12,16,0,0
2020-03-09,286,0.0,0,5,0.0,,0.0,1412,0,12,21,0,0
2020-03-10,372,0.0,0,12,0.0,,0.0,1784,0,12,33,0,0
2020-03-11,497,0.0,0,15,0.0,,0.0,2281,0,12,48,0,0
2020-03-12,595,0.0,0,13,0.0,,0.0,2876,0,12,61,0,0
2020-03-13,785,0.0,0,18,0.0,,0.0,3661,0,12,79,0,0
2020-03-14,839,0.0,21,12,0.0,,0.0,4500,0,33,91,0,0
2020-03-15,923,0.0,0,36,0.0,,0.0,5423,0,33,127,0,0
2020-03-16,1210,0.0,0,21,0.0,,0.0,6633,0,33,148,0,0
2020-03-17,1097,0.0,569,27,0.0,,0.0,7730,0,602,175,0,0
2020-03-18,1404,0.0,0,89,0.0,,0.0,9134,0,602,264,0,0
2020-03-19,1861,0.0,0,108,0.0,,0.0,10995,0,602,372,0,0
2020-03-20,1617,0.0,985,78,0.0,,0.0,12612,0,1587,450,0,0
2020-03-21,1847,0.0,0,112,0.0,,0.0,14459,0,1587,562,0,0
2020-03-22,1559,0.0,0,112,0.0,,0.0,16018,0,1587,674,0,0
2020-03-23,4105,0.0,0,186,0.0,,0.0,20123,0,1587,860,0,0
2020-03-24,2177,0.0,1694,240,0.0,,0.0,22300,0,3281,1100,0,0
2020-03-25,2933,0.0,619,231,0.0,,0.0,25233,0,3900,1331,0,0
2020-03-26,3922,0.0,1048,365,0.0,,0.0,29155,0,4948,1696,0,0
2020-03-27,4259,0.0,752,299,0.0,,0.0,33414,0,5700,1995,0,0
2020-03-28,4691,0.0,24,319,0.0,,0.0,38105,0,5724,2314,0,0
2020-03-29,2069,0.0,1502,297,0.0,,0.0,40174,0,7226,2611,0,0
2020-03-30,4376,0.0,738,413,0.0,,0.0,44550,0,7964,3024,0,0
2020-03-31,7578,0.0,1480,499,0.0,,0.0,52128,0,9444,3523,0,0
2020-04-01,5689,0.0,1491,509,0.0,,0.0,57817,0,10935,4032,0,0
2020-04-02,1288,0.0,1613,1366,0.0,,0.0,59105,0,12548,5398,0,0
2020-04-03,5233,0.0,1460,1109,0.0,,0.0,64338,0,14008,6507,0,0
2020-04-04,18693,0.0,130,14,0.0,,0.0,83031,0,14138,6521,0,0
2020-04-05,7832,,1436,1053,,,0.0,90863,0,15574,7574,0,0
2020-04-06,2917,,780,519,,,0.0,93780,0,16354,8093,0,0
2020-04-07,5204,,1075,833,,,0.0,98984,0,17429,8926,0,0
2020-04-08,11086,,2094,1417,,,0.0,110070,0,19523,10343,0,0
2020-04-09,2880,,1731,526,,,0.0,112950,0,21254,10869,0,0
2020-04-10,5840,,2215,1359,,,0.0,118790,0,23469,12228,0,0
2020-04-11,7141,,1726,987,,,0.0,125931,0,25195,13215,0,0
2020-04-12,4799,,1479,636,,,0.0,130730,0,26674,13851,0,0
2020-04-13,2942,,795,561,,,0.0,133672,0,27469,14412,0,0
2020-04-14,4215,0.0,542,574,0.0,,0.0,137887,0,28011,14986,0,0
2020-04-15,5416,0.0,1112,743,0.0,,0.0,143303,0,29123,15729,0,0
2020-04-16,3788,0.0,4204,2212,0.0,,0.0,147091,0,33327,17941,0,0
2020-04-17,878,0.0,1093,740,0.0,,0.0,147969,0,34420,18681,0,0
2020-04-18,3824,0.0,1563,642,0.0,,0.0,151793,0,35983,19323,0,0
2020-04-19,0,,0,0,,,0.0,151793,0,35983,19323,0,0
2020-04-20,3590,0.0,1426,942,0.0,,0.0,155383,0,37409,20265,0,0
2020-04-21,1110,0.0,628,531,0.0,,0.0,156493,0,38037,20796,0,0
2020-04-22,0,,0,0,,,0.0,156493,0,38037,20796,0,0
2020-04-23,3384,0.0,2620,544,0.0,,0.0,159877,0,40657,21340,0,0
2020-04-24,0,,0,0,,,0.0,159877,0,40657,21340,0,0
2020-04-25,1611,0.0,3937,1274,0.0,,0.0,161488,0,44594,22614,0,0
2020-04-26,612,0.0,309,242,0.0,,0.0,162100,0,44903,22856,0,0
2020-04-27,3742,0.0,610,437,0.0,,0.0,165842,0,45513,23293,0,0
2020-04-28,69,0.0,1373,367,0.0,,0.0,165911,0,46886,23660,0,0
2020-04-29,0,,0,0,,,0.0,165911,0,46886,23660,0,0
2020-04-30,1267,0.0,2590,716,0.0,,0.0,167178,0,49476,24376,0,0
2020-05-01,168,0.0,736,218,0.0,,0.0,167346,0,50212,24594,0,0
2020-05-02,1050,0.0,350,166,0.0,,0.0,168396,0,50562,24760,0,0
2020-05-03,297,0.0,222,135,0.0,,0.0,168693,0,50784,24895,0,0
2020-05-04,769,0.0,587,306,0.0,,0.0,169462,0,51371,25201,0,0
2020-05-05,1089,0.0,1365,330,0.0,,0.0,170551,0,52736,25531,0,0
2020-05-06,3640,0.0,1236,278,0.0,,0.0,174191,0,53972,25809,0,0
2020-05-07,600,0.0,1055,178,0.0,,0.0,174791,0,55027,25987,0,0
2020-05-08,1288,0.0,755,243,0.0,,0.0,176079,0,55782,26230,0,0
2020-05-09,579,0.0,256,80,0.0,,0.0,176658,0,56038,26310,0,0
2020-05-10,312,0.0,179,70,0.0,,0.0,176970,0,56217,26380,0,0
2020-05-11,0,,0,0,,,0.0,176970,0,56217,26380,0,0
2020-05-12,1255,0.0,1568,611,0.0,,0.0,178225,0,57785,26991,0,0
2020-05-13,0,0.0,888,83,0.0,,0.0,178225,0,58673,27074,0,0
2020-05-14,645,0.0,932,351,0.0,,0.0,178870,0,59605,27425,0,0
2020-05-15,636,0.0,843,104,0.0,,0.0,179506,0,60448,27529,0,0
2020-05-17,124,0.0,618,96,0.0,,0.0,179630,0,61066,27625,0,0
2020-05-18,297,0.0,662,614,0.0,,0.0,179927,0,61728,28239,0,0
2020-05-19,882,0.0,835,0,0.0,,0.0,180809,0,62563,28239,0,0
2020-05-20,766,0.0,791,-107,0.0,,0.0,181575,0,63354,28132,0,0
2020-05-21,251,0.0,504,83,0.0,,0.0,181826,0,63858,28215,0,0
2020-05-22,393,0.0,351,74,0.0,,0.0,182219,0,64209,28289,0,0
2020-05-23,250,0.0,338,43,0.0,,0.0,182469,0,64547,28332,0,0
2020-05-24,115,0.0,70,35,0.0,,0.0,182584,0,64617,28367,0,0
2020-05-25,358,0.0,582,65,0.0,,0.0,182942,0,65199,28432,0,0
2020-05-26,-220,0.0,680,98,0.0,,0.0,182722,0,65879,28530,0,0
2020-05-27,191,0.0,705,66,0.0,,0.0,182913,0,66584,28596,0,0
2020-05-28,3325,0.0,607,66,0.0,,0.0,186238,0,67191,28662,0,0
2020-05-29,597,0.0,612,52,0.0,,0.0,186835,0,67803,28714,0,0
2020-05-30,1790,0.0,465,57,0.0,,0.0,188625,0,68268,28771,0,0
2020-05-31,257,0.0,87,31,0.0,,0.0,188882,0,68355,28802,0,0
2020-06-01,338,0.0,85,31,0.0,,0.0,189220,0,68440,28833,0,0
2020-06-02,-37895,0.0,372,107,0.0,,0.0,151325,0,68812,28940,0,0
2020-06-03,352,0.0,643,81,0.0,,0.0,151677,0,69455,29021,0,0
2020-06-04,767,0.0,521,44,0.0,,0.0,152444,0,69976,29065,0,0
2020-06-05,611,0.0,528,46,0.0,,0.0,153055,0,70504,29111,0,0
2020-06-06,579,0.0,302,31,0.0,,0.0,153634,0,70806,29142,0,0
2020-06-07,343,0.0,36,13,0.0,,0.0,153977,0,70842,29155,0,0
2020-06-08,211,0.0,220,54,0.0,,0.0,154188,0,71062,29209,0,0
2020-06-09,403,0.0,444,87,0.0,,0.0,154591,0,71506,29296,0,0
2020-06-10,545,0.0,326,23,0.0,,0.0,155136,0,71832,29319,0,0
2020-06-11,2425,0.0,317,27,0.0,,0.0,157561,0,72149,29346,0,0
2020-06-12,5726,0.0,423,28,0.0,,0.0,163287,0,72572,29374,0,0
2020-06-13,2526,0.0,226,24,0.0,,0.0,165813,0,72798,29398,0,0
2020-06-14,5407,0.0,61,9,0.0,,0.0,171220,0,72859,29407,0,0
2020-06-15,12933,0.0,123,3,0.0,,0.0,184153,0,72982,29410,0,0
2020-06-16,10152,,186,29,,,0.0,194305,0,73168,29439,0,0
2020-06-17,42,,291,111,,,0.0,194347,0,73459,29550,0,0
2020-06-18,458,,332,28,,,0.0,194805,0,73791,29578,0,0
2020-06-19,467,,220,28,,,0.0,195272,0,74011,29606,0,0
2020-06-20,811,,230,14,,,0.0,196083,0,74241,29620,0,0
2020-06-21,641,,195,16,,,0.0,196724,0,74436,29636,0,0
2020-06-22,284,,60,7,,,0.0,197008,0,74496,29643,0,0
2020-06-23,373,,240,23,,,0.0,197381,0,74736,29666,0,0
2020-06-24,423,,259,57,,,0.0,197804,0,74995,29723,0,0
2020-06-25,81,,256,11,,,0.0,197885,0,75251,29734,0,0
2020-06-26,0,,224,21,,,0.0,197885,0,75475,29755,0,0
