date,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
2020-01-20,1,0.0,0,0,,,,1,0,0,0,0,0
2020-01-21,0,0.0,0,0,,,0.0,1,0,0,0,0,0
2020-01-22,0,0.0,0,0,,,0.0,1,0,0,0,0,0
2020-01-23,0,0.0,0,0,,,0.0,1,0,0,0,0,0
2020-01-24,1,0.0,0,0,,,0.0,2,0,0,0,0,0
2020-01-25,0,0.0,0,0,,,0.0,2,0,0,0,0,0
2020-01-26,1,0.0,0,0,,,0.0,3,0,0,0,0,0
2020-01-27,1,0.0,0,0,,,0.0,4,0,0,0,0,0
2020-01-28,0,0.0,0,0,,,0.0,4,0,0,0,0,0
2020-01-29,0,0.0,0,0,,,0.0,4,0,0,0,0,0
2020-01-30,2,0.0,0,0,,,0.0,6,0,0,0,0,0
2020-01-31,5,0.0,0,0,,,0.0,11,0,0,0,0,0
2020-02-01,1,0.0,0,0,,,0.0,12,0,0,0,0,0
2020-02-02,3,0.0,0,0,,,0.0,15,0,0,0,0,0
2020-02-03,0,0.0,0,0,,,0.0,15,0,0,0,0,0
2020-02-04,1,0.0,0,0,,,0.0,16,0,0,0,0,0
2020-02-05,3,0.0,1,0,,,0.0,19,0,1,0,0,0
2020-02-06,4,0.0,1,0,,,0.0,23,0,2,0,0,0
2020-02-07,1,0.0,0,0,,,0.0,24,0,2,0,0,0
2020-02-08,0,0.0,0,0,,,0.0,24,0,2,0,0,0
2020-02-09,3,0.0,1,0,,,0.0,27,0,3,0,0,0
2020-02-10,0,0.0,1,0,,,0.0,27,0,4,0,0,0
2020-02-11,1,0.0,0,0,,,0.0,28,0,4,0,0,0
2020-02-12,0,0.0,3,0,,,0.0,28,0,7,0,0,0
2020-02-13,0,0.0,0,0,,,0.0,28,0,7,0,0,0
2020-02-14,0,0.0,0,0,,,0.0,28,0,7,0,0,0
2020-02-15,0,0.0,2,0,,,0.0,28,0,9,0,0,0
2020-02-16,1,0.0,0,0,,,0.0,29,0,9,0,0,0
2020-02-17,1,0.0,0,0,,,0.0,30,0,9,0,0,0
2020-02-18,1,0.0,3,0,,,0.0,31,0,12,0,0,0
2020-02-19,20,0.0,4,0,,,0.0,51,0,16,0,0,0
2020-02-20,53,0.0,0,1,,,0.0,104,0,16,1,0,0
2020-02-21,100,0.0,1,1,,,0.0,204,0,17,2,0,0
2020-02-22,229,0.0,0,0,,,0.0,433,0,17,2,0,0
2020-02-23,169,0.0,1,4,,,0.0,602,0,18,6,0,0
2020-02-24,231,0.0,4,2,,,0.0,833,0,22,8,0,0
2020-02-25,144,0.0,0,2,,,0.0,977,0,22,10,0,0
2020-02-26,284,0.0,2,2,,,0.0,1261,0,24,12,0,0
2020-02-27,505,0.0,0,1,,,0.0,1766,0,24,13,0,0
2020-02-28,571,0.0,0,3,,,0.0,2337,0,24,16,0,0
2020-02-29,811,,0,1,,,0.0,3148,0,24,17,0,0
2020-03-01,1064,0.0,6,9,,,0.0,4212,0,30,26,0,0
2020-03-02,600,,0,3,,,0.0,4812,0,30,29,0,0
2020-03-03,516,,0,3,,,0.0,5328,0,30,32,0,0
2020-03-04,438,,0,4,,,0.0,5766,0,30,36,0,0
2020-03-05,518,,78,7,,,0.0,6284,0,108,43,0,0
