date,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
2020-02-08,14,0.0,0,0,,,,14,0,0,0,0,0
2020-02-13,1,0.0,0,0,,,0.0,15,0,0,0,0,0
2020-02-21,19,0.0,0,0,,,0.0,34,0,0,0,0,0
2020-02-22,19,0.0,0,0,,,0.0,53,0,0,0,0,0
2020-02-24,0,0.0,0,0,,,0.0,53,0,0,0,0,0
2020-02-25,4,0.0,0,0,,,0.0,57,0,0,0,0,0
2020-02-26,3,0.0,0,0,,,0.0,60,0,0,0,0,0
2020-02-27,0,,0,0,,,0.0,60,0,0,0,0,0
2020-02-28,3,0.0,1,0,,,0.0,63,0,1,0,0,0
2020-02-29,0,0.0,0,1,,,0.0,63,0,1,1,0,0
2020-03-01,26,0.0,0,1,,,0.0,89,0,1,2,0,0
2020-03-02,7,0.0,0,4,,,0.0,96,0,1,6,0,0
2020-03-03,26,0.0,0,3,0.0,,0.0,122,0,1,9,0,0
2020-03-04,41,0.0,0,3,0.0,,0.0,163,0,1,12,0,0
2020-03-05,69,0.0,0,2,0.0,,0.0,232,0,1,14,0,0
2020-03-06,92,0.0,9,0,0.0,,0.0,324,0,10,14,0,0
2020-03-07,121,0.0,0,5,0.0,,0.0,445,0,10,19,0,0
2020-03-08,102,0.0,0,2,0.0,,0.0,547,0,10,21,0,0
2020-03-09,170,0.0,0,5,0.0,,0.0,717,0,10,26,0,0
2020-03-10,287,0.0,0,5,0.0,,0.0,1004,0,10,31,0,0
2020-03-11,308,0.0,0,7,0.0,,0.0,1312,0,10,38,0,0
2020-03-12,346,0.0,0,3,0.0,,0.0,1658,0,10,41,0,0
2020-03-13,546,0.0,0,8,0.0,,0.0,2204,0,10,49,0,0
2020-03-14,612,0.0,0,11,0.0,,0.0,2816,0,10,60,0,0
2020-03-15,958,0.0,0,9,0.0,,0.0,3774,0,10,69,0,0
2020-03-16,668,0.0,0,8,0.0,,0.0,4442,0,10,77,0,0
2020-03-17,1978,0.0,0,31,0.0,,0.0,6420,0,10,108,0,0
2020-03-18,2668,0.0,96,37,0.0,,0.0,9088,0,106,145,0,0
2020-03-19,4262,0.0,0,43,0.0,,0.0,13350,0,106,188,0,0
2020-03-20,6274,0.0,41,72,0.0,,0.0,19624,0,147,260,0,0
2020-03-21,2419,0.0,24,80,0.0,,0.0,22043,0,171,340,0,0
2020-03-22,13181,0.0,7,131,0.0,,0.0,35224,0,178,471,0,0
2020-03-23,8739,0.0,0,115,0.0,,0.0,43963,0,178,586,0,0
2020-03-24,9697,0.0,0,117,0.0,,0.0,53660,0,178,703,0,0
2020-03-25,15300,0.0,0,338,0.0,,0.0,68960,0,178,1041,0,0
2020-03-26,16880,0.0,438,255,0.0,,0.0,85840,0,616,1296,0,0
2020-03-27,14174,0.0,274,410,0.0,,0.0,100014,0,890,1706,0,0
2020-03-28,14749,0.0,205,484,0.0,,0.0,114763,0,1095,2190,0,0
2020-03-29,26154,0.0,1672,299,0.0,,0.0,140917,0,2767,2489,0,0
2020-03-30,33337,0.0,2778,464,0.0,,0.0,174254,0,5545,2953,0,0
2020-03-31,19499,0.0,1596,1137,0.0,,0.0,193753,0,7141,4090,0,0
2020-04-01,22969,0.0,1531,1047,0.0,,0.0,216722,0,8672,5137,0,0
2020-04-02,28936,0.0,639,932,0.0,,0.0,245658,0,9311,6069,0,0
2020-04-03,32910,0.0,609,1094,0.0,,0.0,278568,0,9920,7163,0,0
2020-04-04,33913,0.0,5101,1340,0.0,,0.0,312481,0,15021,8503,0,0
2020-04-05,25490,0.0,2561,1151,0.0,,0.0,337971,0,17582,9654,0,0
2020-04-06,31098,0.0,2421,1364,0.0,,0.0,369069,0,20003,11018,0,0
2020-04-07,30910,0.0,2536,1894,0.0,,0.0,399979,0,22539,12912,0,0
2020-04-08,32600,0.0,1674,1918,0.0,,0.0,432579,0,24213,14830,0,0
2020-04-09,34605,0.0,2309,1906,0.0,,0.0,467184,0,26522,16736,0,0
2020-04-10,34517,0.0,2670,2045,0.0,,0.0,501701,0,29192,18781,0,0
2020-04-11,29129,0.0,3122,1865,0.0,,0.0,530830,0,32314,20646,0,0
2020-04-12,27696,0.0,9704,1500,0.0,,0.0,558526,0,42018,22146,0,0
2020-04-13,24694,0.0,2301,1508,0.0,,0.0,583220,0,44319,23654,0,0
2020-04-14,26775,0.0,5726,2415,0.0,,0.0,609995,0,50045,26069,0,0
2020-04-15,34811,0.0,2595,4856,0.0,,0.0,644806,0,52640,30925,0,0
2020-04-16,32340,,3519,3716,,,0.0,677146,0,56159,34641,0,0
2020-04-17,32875,,4351,2517,,,0.0,710021,0,60510,37158,0,0
2020-04-18,16624,0.0,0,780,0.0,,0.0,726645,0,60510,37938,0,0
2020-04-19,38424,,10502,2649,,,0.0,765069,0,71012,40587,0,0
2020-04-20,27869,0.0,0,1931,0.0,,0.0,792938,0,71012,42518,0,0
2020-04-21,32368,,11961,2825,,,0.0,825306,0,82973,45343,0,0
2020-04-22,23717,,1077,2341,,,0.0,849023,0,84050,47684,0,0
2020-04-23,37577,0.0,1872,2559,0.0,,0.0,886600,0,85922,50243,0,0
2020-04-24,39049,,24510,1974,,,0.0,925649,0,110432,52217,0,0
2020-04-25,35247,,7730,2048,,,0.0,960896,0,118162,54265,0,0
2020-04-26,25149,,615,1112,,,0.0,986045,0,118777,55377,0,0
2020-04-27,24462,,20385,1426,,,0.0,1010507,0,139162,56803,0,0
2020-04-28,25258,,3076,2462,,,0.0,1035765,0,142238,59265,0,0
2020-04-29,28329,,879,2390,,,0.0,1064094,0,143117,61655,0,0
2020-04-30,31210,,12620,2216,,,0.0,1095304,0,155737,63871,0,0
2020-05-01,36148,,5826,1905,,,0.0,1131452,0,161563,65776,0,0
2020-05-02,29386,,12162,1672,,,0.0,1160838,0,173725,67448,0,0
2020-05-03,26464,,4538,1121,,,0.0,1187302,0,178263,68569,0,0
2020-05-04,25533,,9764,1352,,,0.0,1212835,0,188027,69921,0,0
2020-05-05,25628,,12601,2366,,,0.0,1238463,0,200628,72287,0,0
2020-05-06,24230,,5754,2504,,,0.0,1262693,0,206382,74791,0,0
2020-05-07,30157,,10868,2147,,,0.0,1292850,0,217250,76938,0,0
2020-05-08,29313,,6499,1678,,,0.0,1322163,0,223749,78616,0,0
2020-05-09,24176,,13076,1388,,,0.0,1346339,0,236825,80004,0,0
2020-05-10,21299,,19511,783,,,0.0,1367638,0,256336,80787,0,0
2020-05-11,18196,,5889,1008,,,0.0,1385834,0,262225,81795,0,0
2020-05-12,22205,,18284,1571,,,0.0,1408039,0,280509,83366,0,0
2020-05-13,22309,,29750,1831,,,0.0,1430348,0,310259,85197,0,0
2020-05-14,26397,,7729,1703,,,0.0,1456745,0,317988,86900,0,0
2020-05-15,27244,,8197,1585,,,0.0,1483989,0,326185,88485,0,0
2020-05-16,23848,,13387,1634,,,0.0,1507837,0,339572,90119,0,0
2020-05-17,19827,,6817,859,,,0.0,1527664,0,346389,90978,0,0
2020-05-18,21168,,7924,895,,,0.0,1548832,0,354313,91873,0,0
2020-05-19,21243,,8750,1628,,,0.0,1570075,0,363063,93501,0,0
2020-05-20,21456,,7749,1403,,,0.0,1591531,0,370812,94904,0,0
2020-05-21,28927,,11353,1391,,,0.0,1620458,0,382165,96295,0,0
2020-05-22,24551,,44642,1339,,,0.0,1645009,0,426807,97634,0,0
2020-05-23,21819,,20059,1049,,,0.0,1666828,0,446866,98683,0,0
2020-05-24,19626,0.0,4836,617,0.0,,0.0,1686454,0,451702,99300,0,0
2020-05-25,19772,,12968,505,,,0.0,1706226,0,464670,99805,0,0
2020-05-26,19049,,15299,774,,,0.0,1725275,0,479969,100579,0,0
2020-05-27,20528,,10161,1528,,,0.0,1745803,0,490130,102107,0,0
2020-05-28,22658,,8595,1223,,,0.0,1768461,0,498725,103330,0,0
2020-05-29,25069,,20844,1212,,,0.0,1793530,0,519569,104542,0,0
2020-05-30,23290,,15669,1015,,,0.0,1816820,0,535238,105557,0,0
2020-05-31,20350,0.0,64629,638,0.0,,0.0,1837170,0,599867,106195,0,0
2020-06-01,22153,,15549,730,,,0.0,1859323,0,615416,106925,0,0
2020-06-02,21882,,30558,1134,,,0.0,1881205,0,645974,108059,0,0
2020-06-03,20578,,42696,1083,,,0.0,1901783,0,688670,109142,0,0
2020-06-04,33604,,23582,1031,,,0.0,1935387,0,712252,110173,0,0
2020-06-05,30321,,26394,1217,,,0.0,1965708,0,738646,111390,0,0
2020-06-06,22836,,13248,706,,,0.0,1988544,0,751894,112096,0,0
2020-06-07,18905,,9814,373,,,0.0,2007449,0,761708,112469,0,0
2020-06-08,19045,,11772,586,,,0.0,2026494,0,773480,113055,0,0
2020-06-09,19055,,15382,1093,,,0.0,2045549,0,788862,114148,0,0
2020-06-10,20852,,19632,982,,,0.0,2066401,0,808494,115130,0,0
2020-06-11,23300,,7592,904,,,0.0,2089701,0,816086,116034,0,0
2020-06-12,27221,,25848,791,,,0.0,2116922,0,841934,116825,0,0
2020-06-13,25302,,12172,702,,,0.0,2142224,0,854106,117527,0,0
2020-06-14,20004,,15944,331,,,0.0,2162228,0,870050,117858,0,0
2020-06-15,8422,,7996,303,,,0.0,2170650,0,878046,118161,0,0
2020-06-16,12300,,11820,122,,,0.0,2182950,0,889866,118283,0,0
2020-06-17,25450,,13175,849,,,0.0,2208400,0,903041,119132,0,0
