id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
700000,台湾,2022-07-29 08:14:33,0,,0,0,,0,4498416,0,13742,8714,0,0,,,
810000,香港,2022-07-29 08:14:34,0,,0,0,,0,352752,0,67090,9488,0,0,,,
420000,湖北,2022-07-29 00:00:07,0,,0,0,,0,68407,0,63891,4512,0,0,,,
310000,上海,2022-07-29 08:28:34,5,,10,0,,-5,63568,0,62881,595,0,0,,,
220000,吉林,2022-07-29 00:00:06,0,,0,0,,0,40293,0,40167,5,0,0,,,
440000,广东,2022-07-29 08:54:37,14,,29,0,,-15,8092,0,7792,8,0,0,,,
110000,北京,2022-07-29 08:21:36,2,,5,0,,-3,3740,0,3715,9,0,0,3146.0,0.0,3130.0
350000,福建,2022-07-29 08:14:34,0,,0,0,,0,3663,0,3558,1,0,0,,,
610000,陕西,2022-07-29 08:14:33,0,,0,0,,0,3373,0,3364,3,0,0,,,
410000,河南,2022-07-29 08:14:33,0,,0,0,,0,3216,0,3177,22,0,0,,,
330000,浙江,2022-07-29 08:14:33,0,,0,0,,0,3198,0,3174,1,0,0,,,
230000,黑龙江,2022-07-29 00:00:06,0,,0,0,,0,2990,0,2977,13,0,0,,,
370000,山东,2022-07-29 08:14:34,12,,0,0,,12,2841,0,2808,7,0,0,,,
510000,四川,2022-07-29 08:14:33,0,,0,0,,0,2618,0,2393,3,0,0,,,
320000,江苏,2022-07-29 08:14:33,0,,0,0,,0,2318,0,2303,0,0,0,,,
530000,云南,2022-07-29 08:54:37,0,,1,0,,-1,2206,0,2187,2,0,0,,,
150000,内蒙古,2022-07-29 08:14:34,0,,0,0,,0,2166,0,2158,1,0,0,,,
450000,广西,2022-07-29 09:01:37,10,,30,0,,-20,2136,0,1748,2,0,0,,,
120000,天津,2022-07-29 00:00:06,0,,0,0,,0,2079,0,1919,3,0,0,,,
130000,河北,2022-07-29 00:00:06,0,,0,0,,0,2007,0,2000,7,0,0,,,
210000,辽宁,2022-07-29 08:14:34,0,,0,0,,0,1736,0,1727,2,0,0,,,
340000,安徽,2022-07-29 08:14:33,0,,0,0,,0,1504,0,1453,6,0,0,,,
360000,江西,2022-07-29 08:14:33,0,,0,0,,0,1438,0,1425,1,0,0,,,
430000,湖南,2022-07-29 00:00:07,0,,0,0,,0,1409,0,1404,4,0,0,,,
620000,甘肃,2022-07-29 09:29:41,21,,47,0,,-26,1248,0,851,2,0,0,,,
650000,新疆,2022-07-29 00:00:07,0,,0,0,,0,1008,0,1005,3,0,0,,,
820000,澳门,2022-07-29 08:14:33,0,,0,0,,0,788,0,560,6,0,0,,,
500000,重庆,2022-07-29 08:17:34,1,,1,0,,0,784,0,756,6,0,0,,,
140000,山西,2022-07-29 00:00:07,0,,0,0,,0,427,0,427,0,0,0,,,
460000,海南,2022-07-29 00:00:06,0,,0,0,,0,326,0,297,6,0,0,,,
520000,贵州,2022-07-29 00:00:07,0,,0,0,,0,186,0,184,2,0,0,,,
630000,青海,2022-07-29 00:00:06,0,,0,0,,0,148,0,148,0,0,0,,,
640000,宁夏,2022-07-29 00:00:07,0,,0,0,,0,122,0,122,0,0,0,,,
540000,西藏,2022-07-29 00:00:06,0,,0,0,,0,1,0,1,0,0,0,,,
