id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,突尼斯,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,1128693,0,0,29041,0,0.0
9507896,塞尔维亚,2022-07-29 00:03:05,6102.0,,2866.0,10.0,,,,2101168,0,2023998,16239,0,0.0
0,中国,2022-07-29 09:15:40,24885.0,,362.0,67.0,,24456.0,49.0,5106026,0,303917,23501,0,20582.0
1,日本本土,2022-01-19 00:00:33,26881.0,,8445.0,2.0,,,,1879839,0,1735909,18433,0,0.0
2,泰国,2022-07-29 00:03:04,2747.0,,2099.0,34.0,,,,4582168,0,4526691,31261,0,0.0
3,新加坡,2022-07-29 00:03:05,8763.0,,6429.0,3.0,,,,1685889,0,1584961,1490,0,0.0
4,韩国,2022-07-29 00:03:04,100182.0,,20246.0,25.0,,,,19446946,0,18466528,24932,0,0.0
5,澳大利亚,2022-07-29 00:03:04,49579.0,,52734.0,83.0,,,,9235681,0,8850097,11387,0,0.0
6,德国,2022-07-29 00:03:04,104126.0,,232300.0,157.0,,,,30702511,0,28737700,143702,0,0.0
7,美国,2022-07-29 09:33:15,126270.0,,124916.0,443.0,,,,92815823,0,87794675,1054119,0,0.0
8,马来西亚,2022-07-29 00:03:04,4503.0,,3847.0,10.0,,,,4664213,0,4581365,35942,0,0.0
9,越南,2022-07-29 00:03:05,1763.0,,7516.0,0.0,,,,10772982,0,9881591,43092,0,0.0
89566,圣巴泰勒米,2020-06-12 17:03:12,,,,,,,,6,0,6,0,0,
821,肯尼亚,2022-07-29 00:03:05,67.0,,50.0,0.0,,,,337456,0,331070,5672,0,0.0
826,伊朗,2022-07-29 00:03:05,10526.0,,924.0,37.0,,,,7359489,0,7075919,141795,0,0.0
827,以色列,2022-07-29 00:03:04,4120.0,,3637.0,43.0,,,,4567893,0,4502030,11347,0,0.0
828,毛利亚尼亚,2020-06-09 19:59:04,,,,,,,,16,0,6,2,0,
829,黎巴嫩,2022-07-29 00:03:04,3295.0,,0.0,4.0,,,,1164395,0,1087587,10519,0,0.0
833,克罗地亚,2022-07-29 00:03:05,1899.0,,487.0,16.0,,,,1180857,0,1154267,16265,0,0.0
834,奥地利,2022-07-29 00:03:04,11432.0,,12485.0,27.0,,,,4716543,0,4576763,19051,0,0.0
835,瑞士,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,3930649,0,3720190,14046,0,0.0
839,希腊,2022-07-29 00:03:04,0.0,,29068.0,0.0,,,,4349423,0,4108586,30999,0,0.0
95800,毛里求斯,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,39310,0,37352,1009,0,0.0
845,爱沙尼亚,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,586171,0,524990,2620,0,0.0
846,北马其顿,2022-07-29 00:03:04,888.0,,638.0,2.0,,,,325270,0,311015,9363,0,0.0
850,白俄罗斯,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,994037,0,985592,7118,0,0.0
851,立陶宛,2022-07-29 00:03:04,1104.0,,0.0,1.0,,,,1082046,0,1038300,9207,0,0.0
852,阿塞拜疆,2022-07-29 00:03:05,399.0,,271.0,2.0,,,,797281,0,785437,9741,0,0.0
875097,美属维尔京群岛,2020-06-12 17:06:26,,,,,,,,72,0,46,6,0,
95826,蒙古,2020-06-15 13:26:49,,,,,,,,197,0,98,0,0,
872,乌克兰,2022-07-29 00:03:05,0.0,,158.0,0.0,,,,5021612,0,4910110,108699,0,0.0
874,波兰,2022-07-29 00:03:04,3691.0,,2.0,11.0,,,,6058432,0,5335826,116535,0,0.0
879,波黑,2022-07-29 00:03:04,564.0,,0.0,10.0,,,,384390,0,0,15851,0,0.0
80902,蒙特塞拉特,2020-06-12 17:02:32,,,,,,,,11,0,10,1,0,
880,南非,2022-07-29 00:03:04,381.0,,244.0,5.0,,,,4003883,0,3895617,101967,0,0.0
95198,布隆迪,2020-06-15 14:48:50,,,,,,,,85,0,45,1,0,
95215522,南苏丹,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,17733,0,15630,138,0,0.0
893,马耳他,2022-07-29 00:03:04,97.0,,506.0,2.0,,,,112533,0,108677,789,0,0.0
896,摩尔多瓦,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,520321,0,504142,11567,0,0.0
897,保加利亚,2022-07-29 00:03:04,1944.0,,902.0,6.0,,,,1202494,0,1143214,37356,0,0.0
898,孟加拉,2022-07-29 00:03:04,626.0,,839.0,5.0,,,,2003570,0,1939211,29280,0,0.0
899,阿尔巴尼亚,2020-06-15 10:20:56,,0.0,,,0.0,,,1521,0,1044,36,0,
950000,巴勒斯坦,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,598019,0,584777,5368,0,0.0
95kml,科摩罗,2020-06-15 13:47:09,,,,,,,,176,0,114,2,0,
953333,阿富汗,2022-07-29 00:03:04,191.0,,136.0,1.0,,,,185277,0,166398,7743,0,0.0
95888822,沙特阿拉伯,2022-07-29 00:03:05,323.0,,574.0,0.0,,,,808742,0,793416,9243,0,0.0
9511123,新西兰,2022-07-29 00:03:04,9107.0,,10653.0,37.0,,,,1589584,0,1528799,2018,0,0.0
95333,塔吉克斯坦,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,17786,0,17264,125,0,0.0
83356,泽西岛,2020-06-15 13:25:33,,,,,,,,313,0,292,15,0,0.0
954467,叙利亚,2020-06-15 13:51:09,,0.0,,,0.0,,,177,0,74,6,0,
95327,巴拿马,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,948473,0,931329,8412,0,0.0
95329,古巴,2022-07-29 00:03:04,98.0,,77.0,0.0,,,,1107708,0,1098608,8529,0,0.0
9511111,尼日利亚,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,260764,0,253592,3147,0,0.0
95858585,摩洛哥,2022-07-29 00:03:04,659.0,,1304.0,2.0,,,,1259420,0,1236632,16226,0,0.0
9500222,塞内加尔,2022-07-29 00:03:05,46.0,,48.0,0.0,,,,87194,0,84938,1968,0,0.0
95118,老挝,2020-06-15 14:24:59,,,,,,,,19,0,19,0,0,
95350,巴哈马,2022-07-29 00:03:04,11.0,,21.0,0.0,,,,36633,0,35203,822,0,0.0
84226,马约特岛,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,38653,0,0,187,0,0.0
954444,斯洛文尼亚,2022-07-29 00:03:04,1993.0,,1885.0,2.0,,,,1077220,0,1047849,6688,0,0.0
95103,卢森堡,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,279354,0,265463,1108,0,0.0
95106,爱尔兰,2022-07-29 00:03:04,0.0,,1544.0,0.0,,,,1644166,0,1577847,7640,0,0.0
95102,厄瓜多尔,2022-07-29 08:38:16,3270.0,,401.0,4.0,,,,961345,0,886373,35801,0,0.0
957777,捷克,2022-07-29 00:03:04,3433.0,,533.0,13.0,,,,3975729,0,3913597,40430,0,0.0
9522222,匈牙利,2022-07-29 00:03:04,14402.0,,7096.0,54.0,,,,1965481,0,1890181,46790,0,0.0
8101,法属圭亚那,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,91812,0,11254,404,0,0.0
8102,多哥共和国,2020-06-15 11:45:39,,,,,,,,530,0,291,13,0,0.0
8100,哥斯达黎加,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,989213,0,860711,8670,0,0.0
8105,文莱,2022-07-29 00:03:05,1578.0,,0.0,0.0,,,,201857,0,164116,225,0,0.0
8103,法罗群岛,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,34658,0,0,28,0,0.0
8104,马提尼克岛,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,211836,0,104,1005,0,0.0
95120,荷兰,2022-07-29 00:03:04,4120.0,,3493.0,7.0,,,,8324397,0,8143135,22483,0,0.0
951234567,巴西,2022-07-29 00:03:04,46461.0,,68824.0,308.0,,,,33707069,0,32190361,677871,0,0.0
8115,洪都拉斯,2022-07-29 00:03:05,1840.0,,0.0,1.0,,,,438050,0,132498,10932,0,0.0
95394,乌拉圭,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,969803,0,960632,7403,0,0.0
95390,秘鲁,2022-07-29 00:03:05,14423.0,,23064.0,8.0,,,,3873702,0,3500249,214120,0,0.0
956666,智利,2022-07-29 00:03:04,9044.0,,8439.0,12.0,,,,4204824,0,3908381,59405,0,0.0
95389,格陵兰,2022-07-29 00:03:05,0.0,,0.0,0.0,,,,11971,0,2761,21,0,0.0
95382,圣巴托洛谬岛,2020-06-12 17:03:05,,,,,,,,6,0,6,0,0,
950101010,马尔代夫,2022-07-29 00:03:04,0.0,,0.0,0.0,,,,184302,0,163687,307,0,0.0
